iter	Passed	Remaining
0	138	138305
1	140	70158
2	142	47467
3	145	36141
4	147	29383
5	150	24889
6	152	21615
7	154	19189
8	157	17303
9	159	15778
10	161	14523
11	163	13478
12	165	12576
13	167	11805
14	169	11137
15	171	10549
16	173	10059
17	176	9617
18	178	9201
19	180	8828
20	182	8488
21	184	8189
22	186	7910
23	188	7659
24	190	7436
25	193	7235
26	194	7019
27	196	6819
28	198	6645
29	200	6483
30	202	6328
31	204	6175
32	206	6060
33	209	5941
34	210	5811
35	212	5699
36	214	5583
37	216	5473
38	217	5365
39	219	5264
40	221	5179
41	223	5090
42	225	5010
43	226	4925
44	228	4848
45	229	4765
46	231	4694
47	232	4615
48	234	4559
49	236	4501
50	238	4444
51	240	4387
52	242	4330
53	244	4282
54	246	4230
55	248	4184
56	250	4143
57	252	4102
58	254	4059
59	256	4018
60	258	3974
61	260	3934
62	261	3895
63	263	3850
64	265	3820
65	267	3787
66	269	3756
67	270	3712
68	272	3682
69	275	3653
70	276	3621
71	278	3591
72	280	3564
73	282	3537
74	284	3509
75	286	3481
76	287	3448
77	289	3422
78	291	3394
79	292	3367
80	294	3346
81	296	3323
82	298	3299
83	300	3275
84	301	3245
85	303	3221
86	304	3190
87	305	3165
88	307	3143
89	309	3125
90	311	3106
91	312	3086
92	314	3065
93	315	3040
94	317	3023
95	319	3005
96	320	2986
97	322	2967
98	324	2952
99	326	2935
100	327	2915
101	328	2889
102	329	2870
103	331	2852
104	332	2834
105	334	2819
106	335	2801
107	337	2785
108	339	2771
109	340	2756
110	342	2740
111	343	2722
112	344	2705
113	345	2688
114	347	2671
115	348	2653
116	349	2636
117	350	2620
118	351	2602
119	352	2586
120	354	2571
121	355	2555
122	355	2535
123	356	2519
124	357	2504
125	358	2488
126	359	2474
127	360	2456
128	361	2441
129	362	2426
130	363	2411
131	364	2397
132	365	2383
133	366	2368
134	367	2354
135	368	2341
136	369	2328
137	370	2315
138	371	2301
139	372	2290
140	373	2276
141	374	2263
142	375	2250
143	376	2237
144	377	2225
145	378	2213
146	379	2201
147	380	2189
148	381	2177
149	382	2166
150	383	2156
151	384	2146
152	385	2135
153	387	2126
154	388	2116
155	389	2106
156	390	2095
157	391	2085
158	392	2075
159	393	2066
160	394	2056
161	395	2046
162	396	2036
163	397	2028
164	398	2018
165	400	2009
166	400	1999
167	401	1990
168	402	1981
169	403	1971
170	404	1962
171	405	1952
172	406	1942
173	407	1933
174	408	1925
175	409	1916
176	410	1907
177	411	1900
178	412	1892
179	413	1884
180	414	1874
181	415	1866
182	416	1859
183	417	1852
184	418	1844
185	419	1836
186	420	1828
187	421	1821
188	422	1813
189	423	1805
190	424	1798
191	425	1791
192	426	1784
193	427	1778
194	429	1771
195	430	1764
196	431	1757
197	431	1749
198	433	1743
199	434	1736
200	435	1729
201	435	1721
202	436	1715
203	437	1708
204	438	1701
205	439	1695
206	441	1690
207	442	1684
208	443	1677
209	444	1671
210	445	1665
211	446	1658
212	447	1652
213	448	1646
214	449	1639
215	450	1633
216	451	1627
217	451	1620
218	452	1614
219	453	1608
220	454	1603
221	455	1597
222	456	1591
223	458	1586
224	459	1582
225	460	1576
226	461	1570
227	462	1564
228	463	1558
229	464	1553
230	465	1548
231	465	1542
232	466	1537
233	468	1532
234	469	1527
235	470	1521
236	471	1516
237	472	1511
238	473	1507
239	474	1501
240	475	1496
241	476	1491
242	477	1485
243	477	1480
244	478	1475
245	479	1470
246	480	1465
247	481	1460
248	482	1455
249	483	1450
250	484	1445
251	485	1440
252	486	1435
253	487	1430
254	488	1426
255	489	1422
256	490	1418
257	491	1413
258	492	1408
259	493	1403
260	494	1399
261	495	1394
262	496	1390
263	497	1385
264	498	1381
265	499	1377
266	500	1372
267	501	1369
268	502	1365
269	503	1361
270	504	1357
271	505	1353
272	506	1349
273	507	1345
274	508	1341
275	510	1337
276	510	1333
277	511	1329
278	513	1325
279	514	1322
280	515	1318
281	516	1315
282	517	1311
283	518	1307
