iter	Passed	Remaining
0	0	836
1	1	758
2	2	710
3	2	666
4	3	666
5	3	655
6	4	638
7	5	631
8	5	624
9	6	615
10	6	610
11	7	608
12	7	607
13	8	602
14	9	599
15	9	594
16	10	592
17	10	590
18	11	587
19	11	587
20	12	585
21	13	581
22	13	576
23	14	575
24	14	575
25	15	572
26	15	568
27	16	567
28	16	567
29	17	566
30	18	568
31	18	565
32	19	565
33	19	566
34	20	566
35	21	566
36	21	564
37	22	564
38	22	563
39	23	562
40	24	562
41	24	560
42	25	557
43	25	555
44	26	553
45	26	552
46	27	552
47	27	551
48	28	551
49	29	551
50	29	552
51	30	552
52	30	552
53	31	550
54	32	549
55	32	547
56	33	546
57	33	547
58	34	547
59	34	547
60	35	546
61	36	547
62	36	546
63	37	545
64	37	545
65	38	545
66	39	543
67	39	543
68	40	543
69	40	542
70	41	541
71	41	540
72	42	540
73	43	539
74	43	538
75	44	537
76	44	536
77	45	535
78	45	534
79	46	533
80	46	532
81	47	532
82	47	528
83	48	529
84	49	528
85	49	528
86	50	529
87	51	529
88	51	528
89	52	527
90	52	527
91	53	526
92	53	526
93	54	525
94	55	525
95	55	524
96	56	523
97	56	523
98	57	522
99	58	522
100	58	521
101	59	521
102	59	520
103	60	520
104	61	520
105	61	519
106	62	518
107	62	518
108	63	517
109	64	518
110	64	517
111	65	516
112	65	516
113	66	515
114	66	515
115	67	514
116	68	513
117	68	512
118	69	512
119	69	511
120	70	509
121	70	508
122	71	507
123	71	507
124	72	507
125	73	508
126	73	507
127	74	507
128	75	506
129	75	505
130	76	505
131	76	504
132	77	504
133	77	503
134	78	502
135	78	501
136	79	501
137	80	501
138	80	500
139	81	499
140	81	498
141	82	496
142	82	496
143	83	495
144	83	494
145	84	493
146	85	493
147	85	492
148	85	491
149	86	490
150	87	489
151	87	488
152	88	488
153	88	487
154	89	486
155	89	486
156	90	485
157	90	484
158	91	484
159	92	483
160	92	481
161	92	480
162	93	480
163	94	479
164	94	479
165	95	478
166	95	477
167	96	476
168	96	475
169	97	475
170	97	474
171	98	473
172	98	472
173	99	471
174	99	470
175	100	470
176	100	469
177	101	468
178	101	467
179	102	466
180	102	465
181	104	467
182	104	467
183	105	466
184	105	465
185	106	465
186	106	464
187	107	464
188	107	463
189	108	462
190	109	462
191	109	461
192	110	461
193	110	460
194	111	460
195	112	459
196	112	458
197	113	458
198	113	457
199	114	456
200	114	456
201	115	455
202	115	454
203	116	453
204	116	452
205	117	452
206	117	451
207	118	450
208	119	450
209	119	450
210	120	450
211	120	449
212	121	449
213	122	448
214	122	448
215	123	447
216	123	447
217	124	446
218	125	446
219	125	445
220	126	445
221	126	444
222	127	443
223	127	443
224	128	443
225	129	442
226	129	442
227	130	441
228	130	440
229	131	440
230	132	439
231	132	439
232	133	438
233	133	437
234	134	437
235	134	436
236	135	435
237	135	434
238	136	434
239	136	433
240	137	432
241	137	432
242	138	431
243	138	430
244	139	429
245	140	429
246	140	428
247	141	428
248	141	427
249	142	427
250	143	426
251	143	426
252	144	425
253	144	424
254	145	424
255	145	423
256	146	422
257	146	422
258	147	422
259	148	421
260	148	421
261	149	420
262	149	419
263	150	419
264	150	418
265	151	417
266	151	417
267	152	416
268	153	416
269	153	415
270	154	415
271	155	414
272	155	414
273	156	414
274	156	413
275	157	412
276	157	412
277	158	411
278	159	411
279	159	410
280	160	410
281	160	409
282	161	409
283	162	408
284	162	408
285	163	407
286	163	407
287	164	406
288	165	406
289	165	405
290	166	404
291	166	404
292	167	403
293	167	403
294	168	402
295	169	401
296	169	401
297	170	400
298	170	400
299	171	399
300	171	399
301	172	398
302	173	398
303	173	397
304	174	396
305	174	395
306	175	395
307	175	394
308	176	394
309	176	393
310	177	392
311	177	392
312	178	391
313	179	391
314	179	390
315	180	389
316	180	389
317	181	388
318	181	388
319	182	387
320	182	386
321	183	386
322	183	385
323	184	384
324	185	384
325	185	383
326	186	383
327	186	382
328	187	382
329	187	381
330	188	380
331	189	380
332	189	379
333	190	379
334	190	378
335	191	377
336	191	377
337	192	376
338	192	375
339	193	375
340	193	374
341	194	374
342	195	373
343	195	372
344	196	372
345	196	371
346	197	371
347	197	370
348	198	370
349	198	369
350	199	368
351	199	368
352	200	367
353	201	366
354	201	366
355	202	366
356	202	365
357	203	364
358	203	364
359	204	363
360	204	362
361	205	362
362	206	361
363	206	361
364	207	360
365	207	359
366	208	359
367	208	358
368	209	358
369	209	357
370	210	356
371	211	356
372	211	355
373	212	355
374	212	354
375	213	353
376	213	353
377	214	352
378	214	352
379	215	351
380	215	350
381	216	350
382	217	349
383	217	349
384	218	348
385	218	347
386	219	347
387	219	346
388	220	346
389	220	345
390	221	344
391	221	344
392	222	343
393	222	342
394	223	342
395	223	341
396	224	340
397	225	340
398	225	339
399	226	339
400	226	338
401	227	337
402	227	337
403	228	336
404	228	336
405	229	335
406	229	334
407	230	334
408	230	333
409	231	333
410	232	332
411	232	331
412	233	331
413	233	330
414	234	330
415	234	329
416	235	328
417	235	328
418	236	327
419	236	326
420	237	326
421	237	325
422	238	325
423	238	324
424	239	323
425	240	323
426	240	322
427	241	322
428	241	321
429	242	321
430	242	320
431	243	319
432	243	319
433	244	318
434	244	317
435	245	317
436	245	316
437	246	316
438	247	315
439	247	315
440	248	314
441	248	314
442	249	313
443	250	313
444	250	312
445	251	311
446	251	311
447	252	310
448	252	310
449	253	309
450	253	308
451	254	308
452	254	307
453	255	307
454	255	306
455	256	306
456	257	305
457	257	304
458	258	304
459	258	303
460	259	303
461	259	302
462	260	302
463	261	301
464	261	300
465	262	300
466	262	299
467	263	299
468	263	298
469	264	298
470	264	297
471	265	297
472	266	296
473	266	295
474	267	295
475	267	294
476	268	294
477	268	293
478	269	292
479	269	292
480	270	291
481	270	291
482	271	290
483	272	290
484	272	289
485	273	288
486	273	288
487	274	287
488	274	287
489	275	286
490	275	285
491	276	285
492	276	284
493	277	284
494	278	283
495	278	283
496	279	282
497	279	281
498	280	281
499	280	280
500	281	280
501	281	279
502	282	278
503	282	278
504	283	277
505	283	277
506	284	276
507	284	275
508	285	275
509	286	274
510	286	274
511	287	273
512	287	273
513	288	272
514	288	271
515	289	271
516	289	270
517	290	270
518	290	269
519	291	268
520	291	268
521	292	267
522	292	267
523	293	266
524	294	266
525	294	265
526	295	264
527	295	264
528	296	263
529	296	263
530	297	262
531	297	261
532	298	261
533	298	260
534	299	260
535	299	259
536	300	259
537	300	258
538	301	257
539	302	257
540	302	257
541	303	256
542	304	255
543	304	255
544	305	254
545	305	254
546	306	253
547	306	253
548	307	252
549	308	252
550	308	251
551	309	251
552	309	250
553	310	249
554	310	249
555	311	248
556	312	248
557	312	247
558	313	246
559	313	246
560	314	245
561	314	245
562	315	244
563	315	244
564	316	243
565	316	243
566	317	242
567	317	241
568	318	241
569	319	240
570	319	240
571	320	239
572	320	239
573	321	238
574	321	237
575	322	237
576	323	236
577	323	236
578	324	235
579	324	235
580	325	234
581	325	233
582	326	233
583	326	232
584	327	232
585	328	231
586	328	231
587	329	230
588	329	230
589	330	229
590	330	228
591	331	228
592	331	227
593	332	227
594	332	226
595	333	226
596	333	225
597	334	224
598	334	224
599	335	223
600	335	223
601	336	222
602	336	221
603	337	221
604	338	220
605	338	220
606	339	219
607	339	219
608	340	218
609	341	218
610	341	217
611	342	216
612	342	216
613	343	215
614	343	215
615	344	214
616	344	214
617	345	213
618	345	212
619	346	212
620	347	211
621	347	211
622	348	210
623	348	210
624	349	209
625	349	209
626	350	208
627	351	207
628	351	207
629	352	206
630	352	206
631	353	205
632	353	205
633	354	204
634	355	204
635	355	203
636	356	203
637	356	202
638	357	201
639	357	201
640	358	200
641	359	200
642	359	199
643	360	199
644	360	198
645	361	197
646	361	197
647	362	196
648	362	196
649	363	195
650	363	195
651	364	194
652	365	193
653	365	193
654	366	192
655	366	192
656	367	191
657	367	191
658	368	190
659	368	190
660	369	189
661	370	188
662	370	188
663	371	187
664	371	187
665	372	186
666	372	186
667	373	185
668	373	184
669	374	184
670	374	183
671	375	183
672	376	182
673	376	182
674	377	181
675	377	181
676	378	180
677	378	179
678	379	179
679	379	178
680	380	178
681	381	177
682	381	177
683	382	176
684	382	175
685	383	175
686	383	174
687	384	174
688	384	173
689	385	173
690	385	172
691	386	172
692	386	171
693	387	170
694	387	170
695	388	169
696	388	169
697	389	168
698	390	167
699	390	167
700	391	166
701	391	166
702	392	165
703	392	165
704	393	164
705	394	164
706	394	163
707	395	162
708	395	162
709	396	161
710	396	161
711	397	160
712	397	160
713	398	159
714	399	159
715	399	158
716	400	157
717	400	157
718	401	156
719	401	156
720	402	155
721	402	155
722	403	154
723	403	153
724	404	153
725	404	152
726	405	152
727	405	151
728	406	151
729	406	150
730	407	149
731	408	149
732	408	148
733	409	148
734	409	147
735	410	147
736	410	146
737	411	146
738	411	145
739	412	144
740	412	144
741	413	143
742	414	143
743	414	142
744	415	142
745	415	141
746	416	141
747	417	140
748	417	139
749	418	139
750	418	138
751	419	138
752	419	137
753	420	137
754	420	136
755	421	136
756	421	135
757	422	134
758	423	134
759	423	133
760	424	133
761	424	132
762	425	132
763	425	131
764	426	130
765	426	130
766	427	129
767	427	129
768	428	128
769	429	128
770	429	127
771	430	127
772	430	126
773	431	125
774	431	125
775	432	124
776	432	124
777	433	123
778	433	123
779	434	122
780	435	121
781	435	121
782	436	120
783	436	120
784	437	119
785	437	119
786	438	118
787	438	118
788	439	117
789	440	116
790	440	116
791	441	115
792	441	115
793	442	114
794	442	114
795	443	113
796	443	113
797	444	112
798	445	111
799	445	111
800	446	110
801	446	110
802	447	109
803	447	109
804	448	108
805	448	108
806	449	107
807	450	106
808	450	106
809	451	105
810	451	105
811	452	104
812	452	104
813	453	103
814	453	103
815	454	102
816	455	101
817	455	101
818	456	100
819	456	100
820	457	99
821	457	99
822	458	98
823	458	97
824	459	97
825	459	96
826	460	96
827	461	95
828	461	95
829	462	94
830	462	94
831	463	93
832	463	92
833	464	92
834	464	91
835	465	91
836	466	90
837	466	90
838	467	89
839	467	89
840	468	88
841	468	87
842	469	87
843	469	86
844	470	86
845	471	85
846	471	85
847	472	84
848	472	84
849	473	83
850	473	82
851	474	82
852	474	81
853	475	81
854	476	80
855	476	80
856	477	79
857	477	79
858	478	78
859	478	77
860	479	77
861	479	76
862	480	76
863	480	75
864	481	75
865	481	74
866	482	73
867	482	73
868	483	72
869	484	72
870	484	71
871	485	71
872	485	70
873	486	70
874	486	69
875	487	68
876	487	68
877	488	67
878	488	67
879	489	66
880	490	66
881	490	65
882	491	65
883	491	64
884	492	63
885	492	63
886	493	62
887	493	62
888	494	61
889	495	61
890	495	60
891	496	60
892	496	59
893	497	58
894	497	58
895	498	57
896	498	57
897	499	56
898	499	56
899	500	55
900	501	55
901	501	54
902	502	53
903	502	53
904	503	52
905	503	52
906	504	51
907	504	51
908	505	50
909	505	50
910	506	49
911	506	48
912	507	48
913	508	47
914	508	47
915	508	46
916	509	46
917	510	45
918	510	44
919	511	44
920	511	43
921	512	43
922	512	42
923	513	42
924	513	41
925	514	41
926	514	40
927	515	39
928	515	39
929	516	38
930	516	38
931	517	37
932	517	37
933	518	36
934	518	36
935	519	35
936	520	34
937	520	34
938	521	33
939	521	33
940	522	32
941	522	32
942	523	31
943	524	31
944	524	30
945	525	29
946	525	29
947	526	28
948	526	28
949	527	27
950	527	27
951	528	26
952	528	26
953	529	25
954	530	24
955	530	24
956	531	23
957	531	23
958	532	22
959	532	22
960	533	21
961	533	21
962	534	20
963	534	19
964	535	19
965	536	18
